"waluta","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Generacja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Spalanie W Mieœcie","Typ nadwozia","Emisja CO2","Liczba drzwi","Liczba miejsc","Kolor","Rodzaj koloru","VAT mar¿a","Kraj pochodzenia","Bezwypadkowy","Serwisowany w ASO","Stan","Mo¿liwoœæ finansowania","Faktura VAT","Leasing","Op³ata pocz¹tkowa","Miesiêczna rata","Liczba pozosta³ych rat","Okres gwarancji producenta","Wartoœæ wykupu","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Pierwszy w³aœciciel","Filtr cz¹stek sta³ych","Spalanie W Cyklu Mieszanym","Spalanie Poza Miastem","Homologacja ciê¿arowa","Gwarancja dealerska (w cenie)","Zarejestrowany jako zabytek","lub do (przebieg km)","Uszkodzony","Kierownica po prawej (Anglik)","Tuning"
"PLN","55 900","Firmy","Osobowe","Audi","A4",NA,"B8 (2007-2015)","2013","169 000 km","1 968 cm3","Diesel","143 KM","Manualna","Na przednie ko³a",NA,"Sedan",NA,"5","5","Czarny","Metalik","Tak","Belgia",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 miesiêcy",NA,NA,NA,NA,NA
"PLN","192 173","Firmy","Osobowe","Audi","A4","35 TFSI mHEV S Line S tronic","B9 (2015-)","2022","10 km","1 984 cm3","Benzyna","150 KM","Automatyczna","Na przednie ko³a","7 l/100km","Sedan","130 g/km","4","5","Czarny","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","19 400","Firmy","Osobowe","Audi","A4",NA,"B7 (2004-2007)","2005","133 000 km","1 984 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","124 g/km","5","5","Inny kolor","Metalik","Tak","Belgia",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 miesiêcy",NA,NA,NA,NA,NA
"PLN","75 500","Osoby prywatnej","Osobowe","Audi","A4","2.0 TDI","B9 (2015-)","2016","139 000 km","1 968 cm3","Diesel","150 KM","Manualna","Na przednie ko³a","4 l/100km","Kombi","124 g/km","5","5","Inny kolor","Per³owy",NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"22/08/2016","ZGR5S73","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","218 300","Firmy","Osobowe","Audi","A3",NA,"8Y (2020 - )","2021",NA,"1 968 cm3","Diesel","150 KM","Automatyczna","Na przednie ko³a",NA,"Kompakt",NA,"5","5","Czarny","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","364 190","Firmy","Osobowe","Audi","e-tron","Sportback 50 quattro",NA,"2021","1 km",NA,"Elektryczny","313 KM","Automatyczna","4x4 (sta³y)",NA,"SUV",NA,"5","5","Szary","Per³owy",NA,NA,"Tak",NA,"Nowe","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","33 899","Osoby prywatnej","Osobowe","Audi","A4","2.0 TDI","B8 (2007-2015)","2009","210 000 km","1 968 cm3","Diesel","143 KM","Manualna","Na przednie ko³a","7 l/100km","Kombi","149 g/km","5","5","Srebrny","Per³owy","Tak",NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","10 500","Firmy","Osobowe","Audi","A3","2.0 FSI Ambiente","8P (2003-2012)","2004","220 000 km","1 984 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a","9 l/100km","Kompakt",NA,"3","5","Czerwony",NA,NA,"Luksemburg",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","198 349","Firmy","Osobowe","Audi","A4","35 TDI S tronic","B9 (2015-)","2022","10 km","1 968 cm3","Diesel","163 KM","Automatyczna","Na przednie ko³a","4 l/100km","Kombi","114 g/km","5","5","Czarny",NA,NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","98 899","Firmy","Osobowe","Audi","Q3","2.0 TDI Sport",NA,"2016","148 681 km","1 968 cm3","Diesel","150 KM","Manualna",NA,"5 l/100km","SUV","119 g/km","5","5","Inny kolor","Metalik",NA,NA,"Tak","Tak","U¿ywane","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,"DACH PANORAMICZNY","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","61 500","Osoby prywatnej","Osobowe","Audi","TT","Coupe 2.0 TDI quattro","8J (2006-2013)","2013","147 000 km","1 968 cm3","Diesel","170 KM","Manualna","4x4 (sta³y)","7 l/100km","Coupe","139 g/km","2","4","Z³oty","Per³owy",NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"20/02/2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","114 900","Firmy","Osobowe","Audi","A4",NA,"B9 (2015-)","2018","91 052 km","1 968 cm3","Diesel","190 KM","Automatyczna","Na przednie ko³a",NA,"Sedan",NA,"5","5","Br¹zowy","Metalik",NA,"Polska","Tak","Tak","U¿ywane","Tak","Tak",NA,NA,NA,NA,NA,NA,"01/06/2018",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","65 000","Osoby prywatnej","Osobowe","Audi","A6","3.0 TDI Quattro S tronic",NA,"2011","290 000 km","2 967 cm3","Diesel","245 KM","Automatyczna","4x4 (do³¹czany automatycznie)","7 l/100km","Sedan",NA,"4","5","Czarny","Metalik",NA,"Polska","Tak",NA,"U¿ywane",NA,"Tak",NA,NA,NA,NA,NA,NA,"01/10/2012","RZ0384S","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","244 900","Firmy","Osobowe","Audi","A6",NA,"C8 (2018-)","2021","8 980 km","1 968 cm3","Diesel","204 KM","Automatyczna","Na przednie ko³a",NA,"Kombi",NA,"5","5","Czarny",NA,NA,"Polska","Tak","Tak","U¿ywane","Tak","Tak",NA,NA,NA,NA,NA,NA,"18/05/2021",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","264 900","Firmy","Osobowe","Audi","A6",NA,"C8 (2018-)","2021","10 826 km","1 968 cm3","Diesel","204 KM","Automatyczna","4x4 (sta³y)",NA,"Kombi",NA,"5","5","Czarny","Metalik",NA,"Polska","Tak","Tak","U¿ywane","Tak","Tak",NA,NA,NA,NA,NA,NA,"25/05/2021",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","264 900","Firmy","Osobowe","Audi","A6",NA,"C8 (2018-)","2020","12 576 km","1 963 cm3","Diesel","204 KM","Automatyczna","4x4 (sta³y)",NA,"Sedan",NA,"4","5","Szary","Metalik",NA,"Polska","Tak","Tak","U¿ywane","Tak","Tak",NA,NA,NA,NA,NA,NA,"09/12/2020",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","99 000","Osoby prywatnej","Osobowe","Audi","A4","2.0 TDI Sport S tronic","B9 (2015-)","2016","199 127 km","1 968 cm3","Diesel","190 KM","Automatyczna","Na przednie ko³a","4 l/100km","Kombi","107 g/km","4","5","Czarny","Metalik",NA,"Niemcy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"15/06/2016","DLE41615","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","70 400","Osoby prywatnej","Osobowe","Audi","A6","3.0 TDI clean diesel Quattro S tronic","C7 (2011-2018)","2012","261 000 km","2 967 cm3","Diesel","245 KM","Automatyczna","4x4 (sta³y)","8 l/100km","Kombi",NA,"5","5","Czarny","Metalik",NA,NA,"Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,"7 l/100km","65 l/100km",NA,NA,NA,NA,NA,NA,NA
"PLN","398 670","Firmy","Osobowe","Audi","RS3","TFSI Sportback quattro S tronic",NA,"2022","10 km","2 480 cm3","Benzyna","400 KM","Automatyczna","4x4 (sta³y)","11,20 l/100km","Kompakt","190 g/km","5","5","Czerwony","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","299 900","Firmy","Osobowe","Audi","A6",NA,"C8 (2018-)","2020","8 819 km","2 967 cm3","Diesel","231 KM","Automatyczna","4x4 (sta³y)",NA,"Sedan",NA,"4","5","Czarny","Metalik",NA,"Polska","Tak","Tak","U¿ywane","Tak","Tak",NA,NA,NA,NA,NA,NA,"10/11/2020",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","134 899","Firmy","Osobowe","Audi","A6","2.0 TDI Ultra S tronic","C7 (2011-2018)","2018","149 950 km","1 968 cm3","Diesel","190 KM","Automatyczna",NA,"5,10 l/100km","Sedan","114 g/km","4","5","Czarny",NA,NA,"Polska","Tak","Tak","U¿ywane","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,"AKTYWNY TEMPOMAT","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","198 999","Firmy","Osobowe","Audi","A5","Sportback 3.0 TDI quattro tiptronic","F5 (2016-)","2018","129 686 km","2 967 cm3","Diesel","286 KM","Automatyczna","4x4 (sta³y)","6,50 l/100km","Sedan","147 g/km","5","5","Czarny","Metalik",NA,NA,"Tak","Tak","U¿ywane","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,"S-LINE 3.0 286KM QUATTRO","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","339 750","Firmy","Osobowe","Audi","RS3","TFSI Limousine quattro S tronic",NA,"2022","10 km","2 480 cm3","Benzyna","400 KM","Automatyczna","4x4 (sta³y)","11,10 l/100km","Sedan","188 g/km","4","5","Czerwony","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","309 900","Firmy","Osobowe","Audi","A6",NA,"C8 (2018-)","2019","92 319 km","2 967 cm3","Diesel","286 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan",NA,"4","5","Czarny","Per³owy",NA,"Polska",NA,"Tak","U¿ywane","Tak","Tak","Tak",NA,NA,NA,NA,NA,"25/10/2019","SK153RV","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","327 360","Firmy","Osobowe","Audi","RS3","TFSI Limousine quattro S tronic",NA,"2022","10 km","2 480 cm3","Benzyna","400 KM","Automatyczna","4x4 (sta³y)","11,10 l/100km","Sedan","188 g/km","4","5","Czerwony","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","267 100","Firmy","Osobowe","Audi","A6","40 TDI mHEV S tronic","C8 (2018-)","2021","1 km","1 968 cm3","Diesel","204 KM","Automatyczna","Na przednie ko³a","5 l/100km","Sedan","114 g/km","4","5","Czarny","Matowy",NA,NA,"Tak",NA,"Nowe","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","376 846","Firmy","Osobowe","Audi","A6","40 TDI mHEV Quattro Sport S tronic","C8 (2018-)","2021","1 km","1 968 cm3","Diesel","204 KM","Automatyczna","4x4 (sta³y)","5 l/100km","Kombi","125 g/km","5","5","Szary","Per³owy",NA,NA,"Tak",NA,"Nowe","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","14 900","Osoby prywatnej","Osobowe","Audi","A4","2.4",NA,"2003","279 000 km","2 393 cm3","Benzyna","170 KM","Manualna","Na przednie ko³a","13 l/100km","Kombi",NA,"4",NA,"Czarny","Metalik","Tak","Holandia","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"11/08/2003","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","52 900","Firmy","Osobowe","Audi","A6","3.0 TDI","C7 (2011-2018)","2012","297 000 km","2 967 cm3","Diesel","204 KM","Manualna","Na przednie ko³a","6 l/100km","Sedan","139 g/km","5","5","Br¹zowy","Metalik","Tak","Francja",NA,NA,"U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,"19/04/2012","PCHHE13","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","264 070","Firmy","Osobowe","Audi","A4",NA,"B9 (2015-)","2021","13 000 km","1 984 cm3","Benzyna","204 KM","Automatyczna","4x4 (sta³y)",NA,"Sedan",NA,"4","5","Niebieski",NA,NA,"Polska",NA,"Tak","U¿ywane","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","62 900","Osoby prywatnej","Osobowe","Audi","S5",NA,NA,"2007","146 638 km","4 163 cm3","Benzyna","353 KM","Manualna","4x4 (sta³y)",NA,"Coupe","283 g/km","2","4","Bia³y","Metalik",NA,"Niemcy",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","502 540","Firmy","Osobowe","Audi","S6",NA,"C8 (2018-)","2021","5 km","2 967 cm3","Diesel","344 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan",NA,"4","5","Szary","Per³owy",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","551 850","Firmy","Osobowe","Audi","A7",NA,NA,"2021","3 900 km","2 967 cm3","Diesel","286 KM","Automatyczna","4x4 (sta³y)",NA,"Sedan",NA,"5","5","Be¿owy",NA,NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","119 900","Firmy","Osobowe","Audi","S6","4.0 TFSI Quattro S tronic","C7 (2011-2018)","2014","127 795 km","3 993 cm3","Benzyna","420 KM","Automatyczna","4x4 (sta³y)","13 l/100km","Kombi","225 g/km","4","5","Niebieski","Metalik","Tak",NA,NA,NA,"U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","30 900","Firmy","Osobowe","Audi","A1",NA,NA,"2011","150 100 km","1 197 cm3","Benzyna","85 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie",NA,"3","5","Inny kolor",NA,"Tak","Niemcy","Tak","Tak","U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","99 900","Firmy","Osobowe","Audi","Q5","2.0 TDI clean diesel Quattro","8R (2008-2016)","2016","64 000 km","1 968 cm3","Diesel","190 KM","Manualna","4x4 (sta³y)","6 l/100km","SUV","149 g/km","5","5","Bia³y","Metalik","Tak","Niemcy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","7 500","Osoby prywatnej","Osobowe","Audi","A4","Avant 1.8T","B5 (1995-2001)","2000","380 000 km","1 781 cm3","Benzyna","150 KM","Manualna",NA,"10 l/100km","Kombi",NA,"5","5","Szary",NA,"Tak",NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","20 900","Osoby prywatnej","Osobowe","Audi","A3","1.6 Attraction","8P (2003-2012)","2007","220 000 km","1 595 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a","9 l/100km","Kompakt",NA,"5","5","Czarny","Metalik","Tak",NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","89 900","Osoby prywatnej","Osobowe","Audi","Q5","2.0 TDI quattro (clean diesel) S tronic","8R (2008-2016)","2015","194 000 km","1 968 cm3","Diesel","190 KM","Automatyczna","4x4 (do³¹czany automatycznie)","6,50 l/100km","SUV","149 g/km","5","5","Czarny","Metalik",NA,"Niemcy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"16/10/2015","DJ4920A","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","17 999","Firmy","Osobowe","Audi","A3",NA,"8P (2003-2012)","2005","202 100 km","1 595 cm3","Benzyna","102 KM","Automatyczna",NA,NA,"Kompakt",NA,"5",NA,"Inny kolor","Metalik","Tak",NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","27 900","Osoby prywatnej","Osobowe","Audi","A3","2.0 TFSI Ambition S tronic","8P (2003-2012)","2008","234 000 km","1 984 cm3","Benzyna","200 KM","Manualna","4x4 (sta³y)","11 l/100km","Kompakt","212 g/km","5","5","Niebieski","Metalik","Tak",NA,"Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,"7 l/100km","6 l/100km",NA,NA,NA,NA,NA,NA,NA
"PLN","18 900","Firmy","Osobowe","Audi","A4","Avant 1.8T","B6 (2000-2004)","2004","257 000 km","1 781 cm3","Benzyna","163 KM","Manualna","Na przednie ko³a","11 l/100km","Kombi",NA,"5","5","Bia³y","Matowy","Tak","Szwecja","Tak","Tak","U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,"04/11/2004","WFN807",NA,"Tak",NA,NA,NA,NA,"3 miesiêcy",NA,NA,NA,NA,NA
"PLN","109 900","Firmy","Osobowe","Audi","Q2",NA,NA,"2019","33 011 km","1 498 cm3","Benzyna","145 KM","Automatyczna","Na przednie ko³a",NA,"SUV",NA,"5","5","Bia³y",NA,NA,"Polska","Tak","Tak","U¿ywane","Tak","Tak","Tak",NA,NA,NA,NA,NA,"11/12/2019",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","736 100","Firmy","Osobowe","Audi","e-tron GT",NA,NA,"2021","5 km",NA,"Elektryczny","598 KM","Automatyczna","4x4 (sta³y)",NA,"Coupe",NA,"5","5","Czarny","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","19 900","Firmy","Osobowe","Audi","A6",NA,"C5 (1997-2004)","1998","126 800 km","1 781 cm3","Benzyna","92 KM","Manualna","Na przednie ko³a",NA,"Sedan",NA,"4","5","Zielony","Metalik","Tak","Niemcy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","118 900","Osoby prywatnej","Osobowe","Audi","A6","2.0 TDI Ultra S tronic","C7 (2011-2018)","2018","176 837 km","1 968 cm3","Diesel","190 KM","Automatyczna","Na przednie ko³a","5,10 l/100km","Kombi","114 g/km","4","5","Bia³y",NA,"Tak",NA,"Tak","Tak","U¿ywane","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","306 900","Firmy","Osobowe","Audi","A6",NA,"C8 (2018-)","2022","5 km","1 984 cm3","Benzyna","265 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan",NA,"5","5","Szary","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","260 700","Firmy","Osobowe","Audi","Q5",NA,"FY (2017-)","2022","5 km","1 968 cm3","Diesel","204 KM","Automatyczna","4x4 (sta³y)",NA,"SUV",NA,"5","5","Szary","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","172 200","Firmy","Osobowe","Audi","Q3",NA,NA,"2022","5 km","1 498 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a",NA,"SUV",NA,"5","5","Bia³y",NA,NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","104 900","Firmy","Osobowe","Audi","A6",NA,"C7 (2011-2018)","2015","149 745 km","1 968 cm3","Diesel","190 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan",NA,"5","5","Niebieski","Metalik",NA,"Polska",NA,"Tak","U¿ywane","Tak","Tak",NA,NA,NA,NA,NA,NA,"18/12/2015",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","15 900","Osoby prywatnej","Osobowe","Audi","A3",NA,"8P (2003-2012)","2007","204 000 km","1 595 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a",NA,"Kompakt",NA,"3","5","Niebieski","Metalik",NA,"Niemcy",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"20/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","286 200","Firmy","Osobowe","Audi","Q4 Sportback",NA,NA,"2021","5 km",NA,"Elektryczny","204 KM","Automatyczna","Na tylne ko³a",NA,"SUV",NA,"5","5","Niebieski","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","251 100","Firmy","Osobowe","Audi","Q5",NA,"FY (2017-)","2022","5 km","1 968 cm3","Diesel","204 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV",NA,"5","5","Bia³y",NA,NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","255 400","Firmy","Osobowe","Audi","Q5",NA,"FY (2017-)","2022","5 km","1 968 cm3","Diesel","204 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV",NA,"5","5","Szary","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","309 600","Firmy","Osobowe","Audi","Q5",NA,NA,"2022","5 km","1 968 cm3","Diesel","204 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV",NA,"5","5","Zielony","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","368 000","Firmy","Osobowe","Audi","RS3",NA,NA,"2021","100 km","2 480 cm3","Benzyna","400 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Kompakt",NA,"5","5","Czerwony","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","59 900","Firmy","Osobowe","Audi","Q5","2.0 TFSI quattro tiptronic","8R (2008-2016)","2012","207 342 km","1 984 cm3","Benzyna","211 KM","Automatyczna","4x4 (sta³y)","11 l/100km","SUV","199 g/km","5","5","Czarny","Metalik","Tak","Stany Zjednoczone","Tak",NA,"U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,"01/01/2012",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","8 900","Firmy","Osobowe","Audi","A2","1.4",NA,"2004","198 360 km","1 390 cm3","Benzyna","75 KM","Manualna","Na przednie ko³a","8 l/100km","Auta ma³e","116 g/km","5","5","Czarny","Metalik","Tak",NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
